表内序号,五要素,表名,字段名称,字段描述,字段类型,长度,内部标识符,中文名称,标识符,数据类型,表示格式
60,人员要素,GZDX_JSBRJBXX,TBRQ,填表日期,VARCHAR2,19,DE00101,填表日期,TBRQ,日期型（date）,d8（YYYYMMDD）
61,人员要素,GZDX_JSBRJBXX,FJQD,附件清单,VARCHAR2,500,,,,,
62,人员要素,GZDX_JSBRJBXX,BZ,备注,VARCHAR2,250,,,,,
63,人员要素,GZDX_JSBRJBXX,XT_ZRQ,责任区,VARCHAR2,20,,,,,
64,人员要素,GZDX_JSBRJBXX,XT_ZRQMC,责任区名称,VARCHAR2,40,,,,,
65,人员要素,GZDX_JSBRJBXX,XT_GLDWID,管理单位ID,VARCHAR2,12,,,,,
66,人员要素,GZDX_JSBRJBXX,XT_GLDWMC,管理单位名称,VARCHAR2,40,DE00065,管理单位名称,GLDWMC,字符型（string）,c..100
67,人员要素,GZDX_JSBRJBXX,XT_SJBMID,上级部门ID,VARCHAR2,20,,,,,
68,人员要素,GZDX_JSBRJBXX,XT_SJBMMC,上级部门名称,VARCHAR2,40,DE00065,上级单位名称,SJDWMC,字符型（string）,c..100
69,人员要素,GZDX_JSBRJBXX,XT_JGDM,机构代码,VARCHAR2,20,DE00060,公安机关机构代码,GAJGJGDM,字符型（string）,c12
70,人员要素,GZDX_JSBRJBXX,XT_JGMC,机构名称,VARCHAR2,40,,,,,
71,人员要素,GZDX_JSBRJBXX,XT_CZSJ,操作时间,VARCHAR2,19,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
72,人员要素,GZDX_JSBRJBXX,XT_CZRID,操作人ID,VARCHAR2,18,,,,,
73,人员要素,GZDX_JSBRJBXX,XT_CZRXM,操作人姓名,VARCHAR2,15,DE00002,操作人姓名,CZRXM,字符型（string）,c..50
74,人员要素,GZDX_JSBRJBXX,XT_CZIP,操作IP,VARCHAR2,30,,,,,
75,人员要素,GZDX_JSBRJBXX,XT_ZHXGSJ,最后修改时间,VARCHAR2,19,DE00554,最后修改时间,ZHXGSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
76,人员要素,GZDX_JSBRJBXX,XT_KXGBZ,可修改标志,VARCHAR2,1,,,,,
77,人员要素,GZDX_JSBRJBXX,XT_LCZT,流程状态,VARCHAR2,1,,,,,
78,人员要素,GZDX_JSBRJBXX,XT_LCSLID,流程实例ID,NUMBER,,,,,,
79,人员要素,GZDX_JSBRJBXX,DEP_ACTION_FLAG,,VARCHAR2,1,,,,,
80,人员要素,GZDX_JSBRJBXX,DEP_ACTION_TIME,,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,人员要素,GZDX_XDRYJBXX,P_ID,吸毒人员基本信息自编号,NUMBER,,,,,,
2,人员要素,GZDX_XDRYJBXX,ZRQ,责任区代码,VARCHAR2,20,,,,,
3,人员要素,GZDX_XDRYJBXX,ZRQMC,责任区名称,VARCHAR2,40,DE00075,责任区地址名称,ZRQDZMC,字符型（string）,c..100
4,人员要素,GZDX_XDRYJBXX,PCS,派出所代码,VARCHAR2,20,,,,,
5,人员要素,GZDX_XDRYJBXX,PCSMC,派出所名称,VARCHAR2,40,DE00075,派出所地址名称,PCSDZMC,字符型（string）,c..100
6,人员要素,GZDX_XDRYJBXX,FXJ,分县局,VARCHAR2,20,DE00060,公安机关机构代码,GAJGJGDM,字符型（string）,c12
7,人员要素,GZDX_XDRYJBXX,FXJMC,分县局名称,VARCHAR2,40,DE00075,分县局地址名称,FXJDZMC,字符型（string）,c..100
8,人员要素,GZDX_XDRYJBXX,RYBH,人员编号,NUMBER,,,,,,
9,人员要素,GZDX_XDRYJBXX,SFZH,身份证号,VARCHAR2,30,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
10,人员要素,GZDX_XDRYJBXX,BM,绰号/别名,VARCHAR2,30,DE00030,别名/绰号,BMCH,字符型（string）,c..50
11,人员要素,GZDX_XDRYJBXX,SG,身高（cm）,VARCHAR2,3,DE00012,身高,SG,数值型（numeric）,n..3
12,人员要素,GZDX_XDRYJBXX,HJDXZQH,户籍地行政区划,VARCHAR2,6,DE00070,户籍住址行政区划代码,HJZZQHDM,字符型（string）,c6
13,人员要素,GZDX_XDRYJBXX,HJDJLXDM,户籍地街楼巷代码,VARCHAR2,40,,,,,
14,人员要素,GZDX_XDRYJBXX,HJDJLXMC,户籍地街楼巷名称,VARCHAR2,40,DE00075,户籍住址街楼巷地址名称,HJZZJLXDZMC,字符型（string）,c..100
15,人员要素,GZDX_XDRYJBXX,HJDMLPDM,户籍地门楼牌代码,VARCHAR2,40,,,,,
16,人员要素,GZDX_XDRYJBXX,HJDMLPMC,户籍地门楼牌名称,VARCHAR2,40,DE00075,户籍住址门楼牌地址名称,HJZZMLPDZMC,字符型（string）,c..100
17,人员要素,GZDX_XDRYJBXX,HJDXZDM,户籍地详址代码,NUMBER,,,,,,
18,人员要素,GZDX_XDRYJBXX,HJDXZMC,户籍地详址名称,VARCHAR2,40,DE00075,户籍住址详址地址名称,HJZZXZDZMC,字符型（string）,c..100
19,人员要素,GZDX_XDRYJBXX,HJDQDZ,户籍地全地址,VARCHAR2,128,DE00075,户籍住址地址名称,HJZZDZMC,字符型（string）,c..100
20,人员要素,GZDX_XDRYJBXX,HJDGBID,户籍地根表ID,VARCHAR2,20,,,,,
21,人员要素,GZDX_XDRYJBXX,HJDPCS,户籍地派出所,VARCHAR2,40,,,,,
22,人员要素,GZDX_XDRYJBXX,JZDXZQH,居住地行政区划,VARCHAR2,6,DE00070,居住地行政区划代码,JZDQHDM,字符型（string）,c6
23,人员要素,GZDX_XDRYJBXX,JZDJLXDM,居住地街楼巷代码,VARCHAR2,40,,,,,
24,人员要素,GZDX_XDRYJBXX,JZDJLXMC,居住地街楼巷名称,VARCHAR2,40,DE00075,居住地街楼巷地址名称,JZDJLXDZMC,字符型（string）,c..100
25,人员要素,GZDX_XDRYJBXX,JZDMLPDM,居住地门楼牌代码,VARCHAR2,40,,,,,
26,人员要素,GZDX_XDRYJBXX,JZDMLPMC,居住地门楼牌名称,VARCHAR2,40,DE00075,居住地门楼牌地址名称,JZDMLPDZMC,字符型（string）,c..100
27,人员要素,GZDX_XDRYJBXX,JZDXZDM,居住地详址代码,NUMBER,,,,,,
28,人员要素,GZDX_XDRYJBXX,JZDXZMC,居住地详址名称,VARCHAR2,40,DE00075,居住地详址地址名称,JZDXZDZMC,字符型（string）,c..100
29,人员要素,GZDX_XDRYJBXX,JZDQDZ,居住地全地址,VARCHAR2,128,DE00075,居住地地址名称,JZDDZMC,字符型（string）,c..100
30,人员要素,GZDX_XDRYJBXX,JZDGBID,居住地根表ID,VARCHAR2,20,,,,,
31,人员要素,GZDX_XDRYJBXX,JZDPCS,居住地派出所,VARCHAR2,40,,,,,
32,人员要素,GZDX_XDRYJBXX,GZDW,工作单位,VARCHAR2,80,DE00021,服务处所,FWCS,字符型（string）,c..100
33,人员要素,GZDX_XDRYJBXX,ZPBZ,照片标志,VARCHAR2,1,,,,,
34,人员要素,GZDX_XDRYJBXX,XDRYLY,吸毒人员来源,VARCHAR2,12,,,,,
35,人员要素,GZDX_XDRYJBXX,DJRQ,登记日期,VARCHAR2,19,DE00524,登记时间,DJSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
36,人员要素,GZDX_XDRYJBXX,DJDQ,登记地区,VARCHAR2,128,DE00070,登记地区行政区划代码,DJDQXZQHDM,字符型（string）,c6
37,人员要素,GZDX_XDRYJBXX,DJDW,登记单位,VARCHAR2,40,DE00065,登记单位名称,DJDWMC,字符型（string）,c..100
38,人员要素,GZDX_XDRYJBXX,DJDD,登记地点,VARCHAR2,128,DE00075,登记地点地址名称,DJDDJZDDZMC,字符型（string）,c..100
39,人员要素,GZDX_XDRYJBXX,DPLY,毒品来源,VARCHAR2,128,DE00166,毒品来源代码,DPLYDM,字符型（string）,c2
40,人员要素,GZDX_XDRYJBXX,XDRQ,吸毒日期,VARCHAR2,19,DE00101,吸毒日期,XDRQ,日期型（date）,d8（YYYYMMDD）
41,人员要素,GZDX_XDRYJBXX,XDCS,吸毒场所,VARCHAR2,128,,,,,
42,人员要素,GZDX_XDRYJBXX,LYDPZL,滥用毒品种类,VARCHAR2,20,DE00084,毒品种类代码,DPZLDM,字符型（string）,c5
43,人员要素,GZDX_XDRYJBXX,TBSHR,填表审核人,VARCHAR2,30,DE00002,填表审核人姓名,TBSHRXM,字符型（string）,c..50
44,人员要素,GZDX_XDRYJBXX,TBDW,填表单位,VARCHAR2,40,DE00065,填表单位名称,TBDWMC,字符型（string）,c..100
45,人员要素,GZDX_XDRYJBXX,TBR,填表人,VARCHAR2,30,DE00002,填表人姓名,TBRXM,字符型（string）,c..50
46,人员要素,GZDX_XDRYJBXX,TBRDH,填表人电话,VARCHAR2,30,DE00216,填表人联系电话,TBRLXDH,字符型（string）,c..18
47,人员要素,GZDX_XDRYJBXX,SFMYCF,是否免于处罚,VARCHAR2,10,,,,,
48,人员要素,GZDX_XDRYJBXX,XDSS,吸毒事实,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,250,,,,,
49,人员要素,GZDX_XDRYJBXX,PZLY,批准理由,VARCHAR2,10,,,,,
50,人员要素,GZDX_XDRYJBXX,PZSJ,批准时间,VARCHAR2,19,DE00564,批准时间,PZSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
51,人员要素,GZDX_XDRYJBXX,PZR,批准人,VARCHAR2,15,DE00002,批准人姓名,PZRXM,字符型（string）,c..50
52,人员要素,GZDX_XDRYJBXX,BZ,备注,VARCHAR2,250,,,,,
53,人员要素,GZDX_XDRYJBXX,XT_ZRQ,责任区,VARCHAR2,20,,,,,
54,人员要素,GZDX_XDRYJBXX,XT_ZRQMC,责任区名称,VARCHAR2,40,,,,,
55,人员要素,GZDX_XDRYJBXX,XT_GLDWID,管理单位ID,VARCHAR2,12,,,,,
56,人员要素,GZDX_XDRYJBXX,XT_GLDWMC,管理单位名称,VARCHAR2,40,DE00065,管理单位名称,GLDWMC,字符型（string）,c..100
57,人员要素,GZDX_XDRYJBXX,XT_GLRID,管理人ID,VARCHAR2,18,,,,,
58,人员要素,GZDX_XDRYJBXX,XT_GLRXM,管理人姓名,VARCHAR2,15,DE00002,管理人姓名,GLRXM,字符型（string）,c..50
59,人员要素,GZDX_XDRYJBXX,XT_JGDM,机构代码,VARCHAR2,20,DE00060,公安机关机构代码,GAJGJGDM,字符型（string）,c12
60,人员要素,GZDX_XDRYJBXX,XT_JGMC,机构名称,VARCHAR2,40,,,,,
61,人员要素,GZDX_XDRYJBXX,XT_CZSJ,操作时间,VARCHAR2,19,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
62,人员要素,GZDX_XDRYJBXX,XT_CZRID,操作人ID,VARCHAR2,18,,,,,
63,人员要素,GZDX_XDRYJBXX,XT_CZRXM,操作人姓名,VARCHAR2,15,DE00002,操作人姓名,CZRXM,字符型（string）,c..50
64,人员要素,GZDX_XDRYJBXX,XT_CZIP,操作IP,VARCHAR2,30,,,,,
65,人员要素,GZDX_XDRYJBXX,XT_TBDW,填表单位,VARCHAR2,20,,,,,
66,人员要素,GZDX_XDRYJBXX,XT_TBDWMC,填表单位名称,VARCHAR2,40,DE00065,填表单位名称,TBDWMC,字符型（string）,c..100
67,人员要素,GZDX_XDRYJBXX,XT_ZHXGSJ,最后修改时间,VARCHAR2,19,DE00554,最后修改日期时间,ZHXGRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
68,人员要素,GZDX_XDRYJBXX,XT_KXGBZ,可修改标志,VARCHAR2,1,,,,,
69,人员要素,GZDX_XDRYJBXX,XT_LCZT,流程状态,VARCHAR2,1,,,,,
70,人员要素,GZDX_XDRYJBXX,XT_LCSLID,流程实例ID,NUMBER,,,,,,
71,人员要素,GZDX_XDRYJBXX,YJSPR,一级审批人,VARCHAR2,15,DE00002,一级审批人姓名,YJSPRXM,字符型（string）,c..50
72,人员要素,GZDX_XDRYJBXX,YJSPYJ,一级审批意见,VARCHAR2,50,,,,,
73,人员要素,GZDX_XDRYJBXX,YJSPSJ,一级审批时间,VARCHAR2,19,DE00554,一级审批日期时间,YJSPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
74,人员要素,GZDX_XDRYJBXX,EJSPR,二级审批人,VARCHAR2,15,DE00002,二级审批人姓名,EJSPRXM,字符型（string）,c..50
75,人员要素,GZDX_XDRYJBXX,EJSPYJ,二级审批意见,VARCHAR2,50,,,,,
76,人员要素,GZDX_XDRYJBXX,EJSPSJ,二级审批时间,VARCHAR2,19,DE00554,二级审批日期时间,EJSPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
77,人员要素,GZDX_XDRYJBXX,SJSPR,三级审批人,VARCHAR2,15,DE00002,三级审批人姓名,SJSPRXM,字符型（string）,c..50
78,人员要素,GZDX_XDRYJBXX,SJSPYJ,三级审批意见,VARCHAR2,50,,,,,
79,人员要素,GZDX_XDRYJBXX,SJSPSJ,三级审批时间,VARCHAR2,19,DE00554,三级审批日期时间,SJSPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
80,人员要素,GZDX_XDRYJBXX,SIJSPR,四级审批人,VARCHAR2,15,DE00002,四级审批人姓名,SJSPRXM,字符型（string）,c..50
81,人员要素,GZDX_XDRYJBXX,SIJSPYJ,四级审批意见,VARCHAR2,50,,,,,
82,人员要素,GZDX_XDRYJBXX,SIJSPSJ,四级审批时间,VARCHAR2,19,DE00554,四级审批日期时间,SJSPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
83,人员要素,GZDX_XDRYJBXX,WJSPR,五级审批人,VARCHAR2,15,DE00002,五级审批人姓名,WJSPRXM,字符型（string）,c..50
84,人员要素,GZDX_XDRYJBXX,WJSPYJ,五级审批意见,VARCHAR2,50,,,,,
85,人员要素,GZDX_XDRYJBXX,WJSPSJ,五级审批时间,VARCHAR2,19,DE00554,五级审批日期时间,WJSPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
86,人员要素,GZDX_XDRYJBXX,SPJG,审批结果,VARCHAR2,2,,,,,
87,人员要素,GZDX_XDRYJBXX,CHDQ,查获地区,VARCHAR2,128,DE00070,查获行政区划代码,CHXZQHDM,字符型（string）,c6
88,人员要素,GZDX_XDRYJBXX,CHDD,查获地点,VARCHAR2,128,DE00075,查获地址名称,CHDZMC,字符型（string）,c..100
89,人员要素,GZDX_XDRYJBXX,DEP_ACTION_FLAG,,VARCHAR2,1,,,,,
90,人员要素,GZDX_XDRYJBXX,DEP_ACTION_TIME,,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,人员要素,GZDX_ZDRKJBXX,XT_CZSJ,操作时间,VARCHAR2,19,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
2,人员要素,GZDX_ZDRKJBXX,XT_CZRID,操作人ID,VARCHAR2,18,,,,,
3,人员要素,GZDX_ZDRKJBXX,XT_CZRXM,操作人姓名,VARCHAR2,15,DE00002,操作人姓名,CZRXM,字符型（string）,c..50
4,人员要素,GZDX_ZDRKJBXX,XT_CZIP,操作IP,VARCHAR2,30,,,,,
5,人员要素,GZDX_ZDRKJBXX,XT_ZHXGSJ,最后修改时间,VARCHAR2,19,DE00554,最后修改时间,ZHXGSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
6,人员要素,GZDX_ZDRKJBXX,XT_KXGBZ,可修改标志,VARCHAR2,1,,,,,
7,人员要素,GZDX_ZDRKJBXX,XT_LCZT,流程状态,VARCHAR2,1,,,,,
8,人员要素,GZDX_ZDRKJBXX,XT_LCSLID,流程实例ID,NUMBER,,,,,,
9,人员要素,GZDX_ZDRKJBXX,YJSPR,一级审批人,VARCHAR2,15,DE00002,一级审批人姓名,YJSPRXM,字符型（string）,c..50
10,人员要素,GZDX_ZDRKJBXX,YJSPYJ,一级审批意见,VARCHAR2,50,,,,,
11,人员要素,GZDX_ZDRKJBXX,YJSPSJ,一级审批时间,VARCHAR2,19,DE00554,一级审批日期时间,YJSPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
12,人员要素,GZDX_ZDRKJBXX,EJSPR,二级审批人,VARCHAR2,15,DE00002,二级审批人姓名,EJSPRXM,字符型（string）,c..50
13,人员要素,GZDX_ZDRKJBXX,EJSPYJ,二级审批意见,VARCHAR2,50,,,,,
14,人员要素,GZDX_ZDRKJBXX,EJSPSJ,二级审批时间,VARCHAR2,19,DE00554,二级审批日期时间,EJSPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
15,人员要素,GZDX_ZDRKJBXX,SJSPR,三级审批人,VARCHAR2,15,DE00002,三级审批人姓名,SJSPRXM,字符型（string）,c..50
16,人员要素,GZDX_ZDRKJBXX,SJSPYJ,三级审批意见,VARCHAR2,50,,,,,
17,人员要素,GZDX_ZDRKJBXX,SJSPSJ,三级审批时间,VARCHAR2,19,DE00554,三级审批日期时间,SJSPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
18,人员要素,GZDX_ZDRKJBXX,SIJSPR,四级审批人,VARCHAR2,15,DE00002,四级审批人姓名,SJSPRXM,字符型（string）,c..50
19,人员要素,GZDX_ZDRKJBXX,SIJSPYJ,四级审批意见,VARCHAR2,50,,,,,
20,人员要素,GZDX_ZDRKJBXX,SIJSPSJ,四级审批时间,VARCHAR2,19,DE00554,四级审批日期时间,SJSPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
21,人员要素,GZDX_ZDRKJBXX,WJSPR,五级审批人,VARCHAR2,15,DE00002,五级审批人姓名,WJSPRXM,字符型（string）,c..50
22,人员要素,GZDX_ZDRKJBXX,WJSPYJ,五级审批意见,VARCHAR2,50,,,,,
23,人员要素,GZDX_ZDRKJBXX,WJSPSJ,五级审批时间,VARCHAR2,19,DE00554,五级审批日期时间,WJSPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
24,人员要素,GZDX_ZDRKJBXX,SPJG,审批结果,VARCHAR2,2,,,,,
25,人员要素,GZDX_ZDRKJBXX,AJXZ,案件性质,VARCHAR2,10,,,,,
26,人员要素,GZDX_ZDRKJBXX,AJLB_XS,案件类别_刑事,VARCHAR2,10,DE00093,刑事案件类别代码,XSAJLBDM,字符型（string）,c6
27,人员要素,GZDX_ZDRKJBXX,AJLB_XZ,案件类别_行政,VARCHAR2,10,DE00093,行政案件类别代码,XZAJLBDM,字符型（string）,c6
28,人员要素,GZDX_ZDRKJBXX,XT_JH,系统警号,VARCHAR2,30,,,,,
29,人员要素,GZDX_ZDRKJBXX,DEP_ACTION_FLAG,,VARCHAR2,1,,,,,
30,人员要素,GZDX_ZDRKJBXX,DEP_ACTION_TIME,,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
31,人员要素,GZDX_ZDRKJBXX,P_ID,重点人口信息自编号,NUMBER,,,,,,
32,人员要素,GZDX_ZDRKJBXX,ZRQ,责任区代码,VARCHAR2,20,,,,,
33,人员要素,GZDX_ZDRKJBXX,ZRQMC,责任区名称,VARCHAR2,40,DE00075,责任区地址名称,ZRQDZMC,字符型（string）,c..100
34,人员要素,GZDX_ZDRKJBXX,PCS,派出所代码,VARCHAR2,20,,,,,
35,人员要素,GZDX_ZDRKJBXX,PCSMC,派出所名称,VARCHAR2,40,DE00075,派出所地址名称,PCSDZMC,字符型（string）,c..100
36,人员要素,GZDX_ZDRKJBXX,FXJ,分县局,VARCHAR2,20,DE00060,公安机关机构代码,GAJGJGDM,字符型（string）,c12
37,人员要素,GZDX_ZDRKJBXX,FXJMC,分县局名称,VARCHAR2,40,DE00075,分县局地址名称,FXJDZMC,字符型（string）,c..100
38,人员要素,GZDX_ZDRKJBXX,RYBH,人员编号,NUMBER,,,,,,
39,人员要素,GZDX_ZDRKJBXX,BLGRZJLX,被列管人证件类型,VARCHAR2,3,,,,,
40,人员要素,GZDX_ZDRKJBXX,BLGRZJHM,被列管人证件号码,VARCHAR2,30,,,,,
41,人员要素,GZDX_ZDRKJBXX,ZPBZ,照片标志,VARCHAR2,1,,,,,
42,人员要素,GZDX_ZDRKJBXX,BM,别名绰号,VARCHAR2,30,DE00030,别名/绰号,BMCH,字符型（string）,c..50
43,人员要素,GZDX_ZDRKJBXX,HYKY,汉语口音,VARCHAR2,6,,,,,
44,人员要素,GZDX_ZDRKJBXX,WHCD,文化程度,VARCHAR2,5,DE00013,学历代码,XLDM,字符型（string）,c2
45,人员要素,GZDX_ZDRKJBXX,XX,血型,VARCHAR2,2,,,,,
46,人员要素,GZDX_ZDRKJBXX,SG,身高,VARCHAR2,10,DE00012,身高,SG,数值型（numeric）,n..3
47,人员要素,GZDX_ZDRKJBXX,FWCS,服务处所,VARCHAR2,40,DE00021,服务处所,FWCS,字符型（string）,c..100
48,人员要素,GZDX_ZDRKJBXX,ZY,职业,VARCHAR2,10,DE00020,职业类别代码,ZYLBDM,字符型（string）,c3
49,人员要素,GZDX_ZDRKJBXX,ZC,专长,VARCHAR2,16,,,,,
50,人员要素,GZDX_ZDRKJBXX,HKSZDXZQH,户口所在地行政区划,VARCHAR2,6,DE00070,户口所在地行政区划代码,HKSZDXZQHDM,字符型（string）,c6
51,人员要素,GZDX_ZDRKJBXX,HKSZDJLXDM,户口所在地街楼巷代码,VARCHAR2,40,,,,,
52,人员要素,GZDX_ZDRKJBXX,HKSZDJLXMC,户口所在地街楼巷名称,VARCHAR2,40,DE00075,户口所在地街楼巷地址名称,HKSZDJLXDZMC,字符型（string）,c..100
53,人员要素,GZDX_ZDRKJBXX,HKSZDMLPDM,户口所在地门楼牌代码,VARCHAR2,40,,,,,
54,人员要素,GZDX_ZDRKJBXX,HKSZDMLPMC,户口所在地门楼牌名称,VARCHAR2,40,DE00075,户口所在地门楼牌地址名称,HKSZDMLPDZMC,字符型（string）,c..100
55,人员要素,GZDX_ZDRKJBXX,HKSZDXZDM,户口所在地详址代码,NUMBER,,,,,,
56,人员要素,GZDX_ZDRKJBXX,HKSZDXZMC,户口所在地详址名称,VARCHAR2,40,DE00075,户口所在地详址地址名称,HKSZDXZDZMC,字符型（string）,c..100
57,人员要素,GZDX_ZDRKJBXX,HKSZDQDZ,户口所在地全地址,VARCHAR2,60,DE00075,户口所在地地址名称,HKSZDDZMC,字符型（string）,c..100
58,人员要素,GZDX_ZDRKJBXX,HKSZDGBID,户口所在地根表ID,VARCHAR2,20,,,,,
59,人员要素,GZDX_ZDRKJBXX,XZDZXZQH,现住地址行政区划,VARCHAR2,6,DE00070,现住址行政区划代码,XZZXZQHDM,字符型（string）,c6
60,人员要素,GZDX_ZDRKJBXX,XZDZJLXDM,现住地址街楼巷代码,VARCHAR2,40,,,,,
61,人员要素,GZDX_ZDRKJBXX,XZDZJLXMC,现住地址街楼巷名称,VARCHAR2,40,DE00075,现住地址街楼巷地址名称,XZDZJLXDZMC,字符型（string）,c..100
62,人员要素,GZDX_ZDRKJBXX,XZDZMLPDM,现住地址门楼牌代码,VARCHAR2,40,,,,,
63,人员要素,GZDX_ZDRKJBXX,XZDZMLPMC,现住地址门楼牌名称,VARCHAR2,40,DE00075,现住地址门楼牌地址名称,XZDZMLPDZMC,字符型（string）,c..100
64,人员要素,GZDX_ZDRKJBXX,XZDZXZDM,现住地址详址代码,NUMBER,,,,,,
65,人员要素,GZDX_ZDRKJBXX,XZDZXZMC,现住地址详址名称,VARCHAR2,40,DE00075,现住地址详址地址名称,XZDZXZDZMC,字符型（string）,c..100
66,人员要素,GZDX_ZDRKJBXX,XZDZQDZ,现住地址全地址,VARCHAR2,60,DE00075,现住址地址名称,XZZDZMC,字符型（string）,c..100
67,人员要素,GZDX_ZDRKJBXX,XZDZGBID,现住地址根表ID,VARCHAR2,20,,,,,
68,人员要素,GZDX_ZDRKJBXX,LGYJ,列管依据,VARCHAR2,10,,,,,
69,人员要素,GZDX_ZDRKJBXX,LGLB,管理类别,VARCHAR2,10,,,,,
70,人员要素,GZDX_ZDRKJBXX,LGFF,管理方法,VARCHAR2,10,,,,,
71,人员要素,GZDX_ZDRKJBXX,LGLY,列管来源,VARCHAR2,10,,,,,
72,人员要素,GZDX_ZDRKJBXX,LGRQ,列管日期,VARCHAR2,19,DE00101,列管日期,LGRQ,日期型（date）,d8（YYYYMMDD）
73,人员要素,GZDX_ZDRKJBXX,DHHM,电话号码,VARCHAR2,30,DE00214,固定电话,GDDH,字符型（string）,c..18
74,人员要素,GZDX_ZDRKJBXX,PZR,批准人,VARCHAR2,15,DE00002,批准人姓名,PZRXM,字符型（string）,c..50
75,人员要素,GZDX_ZDRKJBXX,BZ,备注,VARCHAR2,250,,,,,
76,人员要素,GZDX_ZDRKJBXX,XT_ZRQ,责任区,VARCHAR2,20,,,,,
77,人员要素,GZDX_ZDRKJBXX,XT_ZRQMC,责任区名称,VARCHAR2,40,,,,,
78,人员要素,GZDX_ZDRKJBXX,XT_GLDWID,管理单位ID,VARCHAR2,12,,,,,
79,人员要素,GZDX_ZDRKJBXX,XT_GLDWMC,管理单位名称,VARCHAR2,40,DE00065,管理单位名称,GLDWMC,字符型（string）,c..100
80,人员要素,GZDX_ZDRKJBXX,XT_SJBMID,上级部门ID,VARCHAR2,20,,,,,
81,人员要素,GZDX_ZDRKJBXX,XT_SJBMMC,上级部门名称,VARCHAR2,40,DE00065,上级单位名称,SJDWMC,字符型（string）,c..100
82,人员要素,GZDX_ZDRKJBXX,XT_JGDM,机构代码,VARCHAR2,20,DE00060,公安机关机构代码,GAJGJGDM,字符型（string）,c12
83,人员要素,GZDX_ZDRKJBXX,XT_JGMC,机构名称,VARCHAR2,40,,,,,
1,人员要素,GZDX_ZYDXJBXX,P_ID,注意对象信息自编号,NUMBER,,,,,,
2,人员要素,GZDX_ZYDXJBXX,ZRQ,责任区代码,VARCHAR2,20,,,,,
3,人员要素,GZDX_ZYDXJBXX,ZRQMC,责任区名称,VARCHAR2,40,DE00075,责任区地址名称,ZRQDZMC,字符型（string）,c..100
4,人员要素,GZDX_ZYDXJBXX,PCS,派出所代码,VARCHAR2,20,,,,,
5,人员要素,GZDX_ZYDXJBXX,PCSMC,派出所名称,VARCHAR2,40,DE00075,派出所地址名称,PCSDZMC,字符型（string）,c..100
6,人员要素,GZDX_ZYDXJBXX,FXJ,分县局,VARCHAR2,20,DE00060,公安机关机构代码,GAJGJGDM,字符型（string）,c12
7,人员要素,GZDX_ZYDXJBXX,FXJMC,分县局名称,VARCHAR2,40,DE00075,分县局地址名称,FXJDZMC,字符型（string）,c..100
8,人员要素,GZDX_ZYDXJBXX,ZJLX,证件类型,VARCHAR2,3,DE00085,常用证件代码,CYZJDM,字符型（string）,c3
9,人员要素,GZDX_ZYDXJBXX,ZJHM,证件编号,VARCHAR2,30,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
10,人员要素,GZDX_ZYDXJBXX,RYBH,人员编号,NUMBER,,,,,,
11,人员要素,GZDX_ZYDXJBXX,WHCD,文化程度,VARCHAR2,5,DE00013,学历代码,XLDM,字符型（string）,c2
12,人员要素,GZDX_ZYDXJBXX,FWCS,服务处所,VARCHAR2,40,DE00021,服务处所,FWCS,字符型（string）,c..100
13,人员要素,GZDX_ZYDXJBXX,ZYLB,职业类型,VARCHAR2,10,DE00020,职业类别代码,ZYLBDM,字符型（string）,c3
